id,name,full,family,image,tip,d2t,t2d_correct,t2d_wrong1,t2d_wrong2,t2d_wrong3
r2,R²,Coefficient de Détermination,eval,"🎯 ""Mon modèle comprend __% du problème."" Fraction de la variabilité totale expliquée. Plus proche de 1 = mieux.",Toujours le voir avec l'écart-type : R²=0.93 ± 0.001 = parfait. R²=0.93 ± 0.10 = instable !,Mesure quelle fraction de la variabilité totale est expliquée par le modèle. Entre 0 et 1.,Mesure quelle fraction de la variabilité est expliquée (0–1),Erreur moyenne en valeur absolue,Racine de l'erreur quadratique,Mesure de stabilité entre folds
mae,MAE,Mean Absolute Error,eval,"📏 ""Je me trompe en moyenne de combien ?"" Moyenne des |prédit − réel|. Interprétable directement dans l'unité des données.",MAE=$200 sur salaires à 50k = excellent. MAE=$200 sur prix à 300$ = catastrophe. Relativiser !,Moyenne des erreurs absolues. Interprétable dans l'unité des données. Traite toutes les erreurs équitablement.,Moyenne des |prédit − réel| — interprétable dans l'unité,Carré des erreurs — pénalise les grandes,Racine de la moyenne des erreurs carrées,Fraction de variance expliquée
mse,MSE,Mean Squared Error,eval,"💥 Comme MAE mais on CARRE les erreurs. Une grosse erreur pèse BEAUCOUP plus. ""Zéro tolérance pour les catastrophes.""",Utilise MSE quand une grosse erreur est VRAIMENT coûteuse. Pour l'interpréter → racine = RMSE.,Moyenne des erreurs au carré. Pénalise fortement les grandes erreurs. Unité = (unité)².,Moyenne des erreurs au carré — pénalise fortement les outliers,Moyenne des erreurs absolues,Racine de la moyenne des erreurs carrées,Fraction de variance expliquée
rmse,RMSE,Root Mean Squared Error,eval,📐 MSE mais on prend la racine → retour à l'unité originale. Punit les grosses erreurs tout en restant lisible.,Si RMSE >> MAE → quelques très grosses erreurs. Checker les outliers !,"√MSE. Même unité que les données, sensible aux outliers. Comparer avec MAE pour détecter les outliers.","√MSE — même unité, sensible aux outliers",Moyenne des erreurs absolues,Carré moyen des erreurs,Fraction de variance expliquée
cv,Cross-Validation,Validation Croisée k-fold,eval,"🔄 ""Je découpe mes données en k morceaux, j'entraîne k fois."" Chaque fold est tour à tour le set de test. Résultat fiable.",Toujours regarder R² MOYEN ET écart-type. Bon R² + grand écart-type = peu fiable.,"Découpe les données en k blocs, entraîne/teste k fois, moyenne les scores. Estimation robuste de la performance.","Technique k-fold : k entraînements, k scores, moyenne robuste",Séparation unique train/test,Méthode de réduction de features,Optimisation des hyperparamètres
overfit,Overfitting,Sur-apprentissage,eval,"📚 ""Le modèle a appris le cours par cœur mais rate les examens."" Il mémorise les données d'entraînement et généralise mal.","Solutions : régularisation L1/L2, plus de données, simplifier le modèle, early stopping, dropout.","Modèle trop collé aux données d'entraînement. Excellent sur train, médiocre sur test.","Trop collé au train — excellent sur train, médiocre sur test",Trop simple — mauvais même sur train,Écart entre deux runs,Normalisation des features
underfit,Underfitting,Sous-apprentissage,eval,"🤷 ""Le modèle est trop simple et rate des patterns évidents."" Mauvaises performances même sur les données d'entraînement.","Solutions : modèle plus complexe, plus de features, moins de régularisation.",Modèle trop simple. Mauvais score même sur les données d'entraînement. L'inverse de l'overfitting.,Trop simple — mauvais même sur train,Trop collé au train — mémorise,Sélection de features,Méthode d'optimisation
linreg,Régression Linéaire,Linear Regression,model,"📈 ""Je trace la droite qui colle le mieux aux points."" Prédit une valeur continue. Le modèle le plus simple et interprétable.",Toujours commencer par là. R² < 0.6 → Random Forest. Encore insuffisant → XGBoost.,"Prédit une valeur continue par combinaison linéaire des features. Interprétable, rapide, baseline.",Prédit une valeur continue — combinaison linéaire — baseline,Classifie des points en catégories,Ensemble d'arbres de décision,Réseau de neurones
logreg,Régression Logistique,Logistic Regression,model,"🚦 Malgré le nom, c'est un CLASSIFIEUR. ""Quelle est la probabilité que ce soit OUI ?"" Sortie entre 0 et 1 via la sigmoïde.",Baseline idéale pour la classification. Coefficients interprétables via odds ratio exp(coeff).,"Classifieur qui output une probabilité entre 0 et 1. Malgré le nom, c'est de la CLASSIFICATION.",Classifieur → probabilité 0-1 via sigmoïde — interprétable,Prédit une valeur numérique continue,Ensemble de centaines d'arbres,Réseau de neurones profond
dt,Arbre de Décision,Decision Tree,model,"🌳 ""Si age > 30 ET revenu > 50k ALORS client premium."" Série de questions oui/non. Très lisible par un humain.","Seul : souvent overfit. En ensemble (Random Forest, XGBoost) : très puissant. max_depth=3-5 pour rester lisible.",Série de règles if/else sur les features. Très interprétable mais instable et overfit sans limite de profondeur.,"Série de règles if/else — très lisible, instable seul",Centaines d'arbres en parallèle,Arbres en séquence corrigeant les erreurs,Réseau de couches cachées
